|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
104|Zoltan Chivay|Hm, shame about Caesar. Though he didn't know shite about fish.|Zoltan Chivay|Oh, by the by, splendid job with that last one. Blood splatter nearly hit the ceilin'.|Zoltan Chivay|Ugh. Ehh, you've a soft heart after all, Geralt.|Ech, ty jednak miękkie masz serce, Geralt.|Ugh. Ehh, masz jednak miękkie serce, Geralt.
105|Dudu Biberveldt|Dandelion's on Temple Isle. Imprisoned there. You'll need to find out exactly where.|Geralt|I'll bet my best axe no one'll pester the commander of the Temple Guard.|Zoltan Chivay|But what if they grow suspicious? Start asking questions?|A co, jeśli to wyda im się podejrzane i zaczną mnie pytać...|A co jeśli zaczną coś podejrzewać? Zadawać pytania?
106|Geralt|||It's quite simple, Geralt. I cannot be indifferent to Redania's fate. Call it… patriotic concern.|Dijkstra|Surprised to see you still dabbling in politics.|Zaskoczyło mnie, że jednak wciąż maczasz palce w polityce.|To całkiem proste, Geralt. Nie mogę być obojętny na los Redanii. Nazwijmy to... troską patriotyczną.
107|Geralt|You believe I…? Do you not remember we were once lovers?|Philippa Eilhart|Ahh, you see, Geralt, there are those who keep politics separate from their private lives, and those who do not.|Philippa Eilhart|Maybe it's just me, but I think you'd consider that in itself to be reason enough. Actually, I've long wondered why you parted. Quarelled, even.|Domyślam się, że dla ciebie to już jest wystarczający powód. Wiesz, właściwie to zawsze się zastanawiałem, co was poróżniło.|Może to tylko ja, ale myślę, że sama ta okoliczność byłaby dla ciebie wystarczającym powodem. Tak naprawdę od dawna zastanawiam się, dlaczego się rozstaliśmy. Pokłóciliśmy się, nawet.
108|Geralt|See any drowned dead, or other shitzards around here?|Novigrad Nobleman 02|Clever man, eh? All right, we'll play, provided you've coin.|Novigrad Nobleman 02|Nope, no monsters. Great opportunity to play some cards.|Ani śladu. Dlatego możemy w spokoju zagrać w karty.|Nie ma tu żadnych potworów. Świetna okazja do zagrania w karty.
109|Verden Peasant 01|I ever have a son, I'll name him Geralt.|Verden Peasant 01|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Verden Peasant 03|Swish, swash, witchman buccaneer!|Nie ma chojraka nad wiedźmaka!|Swish, swash, czarodzieju piracie!
110|Novigrad Peasant 03|You captain of this tub?|Geralt|||What's it to you?|A co?|Co ci do tego?
111|Temerian Woman 02|They don't live in separate huts, but all in one big 'ouse, like ants in an anthill.|Temerian Woman 02|Is that how we're gonna live now?|Temerian Woman 03|And just like ants, they blindly serve and obey. All there work from dawn to dusk, knowing no rest or comfort.|I jako mrówcy ślepo posłuszni są i karni. Każden tam jeno pracuje od rana do nocy, śmiechu ni odpoczynku nie zaznaje.|I tak jak mrówki, ślepo służą i wykonują rozkazy. Pracują od świtu do zmierzchu, nie znając odpoczynku ani wygody.
112|Novigrad Girl 31|My mum said I'll turn into a striga if I don't eat my dinner!|Novigrad Girl 13|I'm not afraid.|Novigrad Girl 31|Can girls become witchers, too?|A czy dziewczyna może zostać wiedźminem?|Czy dziewczyny też mogą zostać czarodziejkami?
113|Eternal Fire Guard 02|But I've no animals with me…|Elf Man 31|Hard times we live in, so I wondered if I could, well, have a go for half price?|Novigrad Citizen Man 01|No. I'm talkin' about you. So pay, or go back to rut in the furrows.|Nie. Ale sam jesteś bydło. Albo zapłacisz, albo wracaj na miedzę trawę żryć.|Nie. Mówię o tobie. Zapłać albo wróć do rycia w bruzdach.
114|Cirilla|Hm, how do you even know about that?|Geralt|||Eskel told me. But I want to hear you tell it. I'm certain you have a rational explanation.|Eskel mi opowiedział. Ale chciałabym też usłyszeć twoją wersję. Na pewno jakoś to wyjaśnisz.|Eskel mi powiedział. Ale chcę usłyszeć, jak ty to opowiesz. Jestem pewna, że masz racjonalne wyjaśnienie.
115|Novigrad Girl 03|That hurt!|Novigrad Girl 03|Help!|Novigrad Girl 03|Aaaaa!|Aaaaa!|Aaaaa!
116|Baron|I was supposed to find her. And I did. That was our deal, nothing more.|Geralt|Actually, that's exactly what I think.|Geralt|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Ty pewnie dalej myślisz, że jestem skończonym skurwysynem, prawda? I że to, co się stało, to wyłącznie moja wina?|Nadal uważasz mnie za zepsutego do szpiku kości, podłego drania, prawda? Wierzysz, że tylko ja ponoszę winę za to, co się tu wydarzyło.
117|Donar An Hindar|You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.|Donar An Hindar|I've better. I've a witness. Arnvald!|Cerys|Have you any proof to confirm your accusation?|Masz dowody na potwierdzenie swoich słów?|Czy masz jakiekolwiek dowody potwierdzające twoje oskarżenie?
118|Karl Varese|Aaaaaa-!|Novigrad Prostitute 01|Any weapons tucked away?|King Beggar|Bloody hell, I fucking knew it!|Noż kurwa mać, wiedziałem!|Cholera jasna, mówiłem, że tak będzie!
119|Verden Old Woman 02|Good mornin'.|Verden Old Woman 02|Yeah?|Verden Old Woman 02|Greetin's.|Witajcie.|Pozdrawiam.
120|Skellige Priestess 02|So, it's a complex curse… Meaning I need more information.|Geralt|Speak with Toradar's son, Einar. He was in the garden when Morkvarg and his men attacked. He saw what happened. Of all the pilgrims there at the time, he alone escaped with his life.|Skellige Priestess 01|I understand… But I've told you all I know.|Rozumiem. Ale nie wiem nic więcej ponad to, co już powiedziałam.|Rozumiem... Ale powiedziałam ci już wszystko, co wiem.
121|Skellige Fisherman 05|Felt it comin' a while now! They poisoned King Bran first, now their whole fleet's upon us!|Skellige Fisherman 04|Crach's son Hjalmar, his head's melted! He sailed off to kill the Ice Giant!|Skellige Fisherman 05|Oh, this again.|Ech, znowu to samo.|Oh, to znowu.
122|Skellige Woman 01|I couldn't help overhearing. Fate was unkind to your menfolk.|Yennefer|To you continentals, war started a half year back. We've been fightin' Nilfgaard for years now.|Skellige Woman 02|Widows' isles - that's what Skellige is.|Skellige to wyspy wdów.|Wdowie wyspy - takie jest Skellige.
123|Hattori|Want me to help you get your supplies? How?|Geralt|It's just… he demanded an inordinately large share of the profits. I thought you might help me negotiate. I don't mean gratis. I'm certain we can agree on a fee.|Hattori|Just come with me to a meeting. As my bodyguard, it'll bolster my confidence. Truth be told, not so long ago I tried negotiating some iron deliveries with one of the King of Beggars' men.|Wystarczy, że poszedłbyś ze mną na spotkanie. W charakterze ochrony. Swego czasu w sprawie dostaw żelaza pertraktowałem z człowiekiem Króla Żebraków.|Po prostu chodź ze mną na spotkanie. Jako moja ochrona, to wzmocni moją pewność siebie. Prawdę mówiąc, nie tak dawno temu próbowałam negocjować dostawy żelaza z jednym z ludzi Króla Żebraków.
124|Troll_2|Yaaaaawn…|Troll_2|Whiteman.|Troll_2|Bang-bang troll. In noggin.|Coś mnie kuje. We łbie.|Bang-bang troll. W głowie.
125|Nilfgaardian Soldier 01|||||Damn the dogs. He's hidden somewhere!|Szlag, przyczaił się gdzieś!|Cholera z tymi psami. Ukrywa się gdzieś!
126|Avallach|From the look of things, pretty soon Ciri won't need your help anymore.|Geralt|True. She'll do whatever she wants - and I'll support her. What about you? Ready to let her live her own life?|Geralt|Nor yours.|Ani twojej.|Nie twoja sprawa.
127|Cirilla|No one doubts that, child. But remember the most important moment when hunting a monster?|Vesemir|After the council I'll give you an amulet. If you use it, a ball of fire will land where you're standing. Just in case.|Triss|Wait for an opportunity.|„Wyczekiwanie na dogodną okazję”.|Czekaj na okazję.
128|Skellige Warrior 05|What'd he want?|Skellige Warrior 04|I don't like you. Wait outside the gate.|Skellige Warrior 04|Snoopin'.|Węszył.|Węszenie.
129|Skellige Boatbuilder 02|The young pup they sent to help us… What'm I to do with 'im?|Skellige Boatbuilder 02|Send 'im to the tavern. Have him bring us some beer.|Skellige Boatbuilder 03|He don't know a keel from a hull. Just stands there, pickin' his teeth and bendin' nails.|Nie wie, co to wręg ni stępka. W zębach tylko dłubie i gwoździe krzywi.|Nie wie, co to stępka, a co to kadłub. Tylko tak stoi, dłubie sobie w zębach i gniecie gwoździe.
130|Novigrad Traveler Man 04|Yeah. What do you want?|Geralt|Hang on. Who from?|Geralt|I've a message. For you.|Mam dla ciebie wiadomość.|Mam dla ciebie wiadomość.
131|Margarita Laux Antille|Thought Margarita Laux-Antille'd be among the last to get nabbed by witch hunters.|Geralt|I knew the hunters would eventually reach Aretuza - it was but a matter of time. So when I heard Triss was organizing escapes to Kovir, I saw no reason to hesitate.|Margarita Laux Antille|Were it dependent solely on me, of course I would have. But you forget I had my students to consider.|Gdyby chodziło tylko o mnie, to z pewnością nie. Ale pamiętaj, że miałam pod opieką studentki.|Gdyby zależało to tylko ode mnie, oczywiście bym się nie dała złapać. Ale zapominasz, że musiałam brać pod uwagę moich uczniów.
132|Yennefer|||||Geralt?|Geralt?|Geralt?
133|Geralt|Maybe they missed something.|Geralt|Damn, he's cold as ice. Nothing here.|Geralt|Maybe hid something in his jerkin.|Może coś ukrył w kaftanie...?|Może schował coś w swojej kurtce.
134|Geralt|To the dungeon with him.|Radovid|Rarely do I take folk at their word. It is unwise. However, if what you say is true…|Radovid|Wait! Don't have any proof, because I didn't want to scare her off. You want to kill her… with your own hands. I know this.|Czekaj! Nie mam dowodów, bo nie chciałem jej spłoszyć. Bo wiem, że chciałbyś ją zabić sam. Własnoręcznie.|Czekaj! Nie masz żadnych dowodów, ponieważ nie chciałem jej wystraszyć. Chcesz ją zabić... własnymi rękami. Wiem to.
135|Geralt|Not from Velen - I get it right?|Verden Old Man 03|So where ye from?|Verden Old Man 03|You did.|Dobrze.|Zrobiłeś to dobrze.
136|Emhyr|Close.|Geralt|You're insolent because you believe I cannot afford to hurt you. And you're right.|Emhyr|Close, White Wolf, is what you are to decapitation.|Blisko, Biały Wilku, to ty jesteś dekapitacji.|Blisko, Biały Wilku, tym jesteś dla dekapitacji.
137|Coroner|||Nice of you. Especially given you didn't seem pleased about my previous visit.|Geralt|Geralt, right? I'm glad you're here. Held off on the autopsy till you arrived.|O! Geralt, tak? Dobrze, że jesteś. Czekałem na ciebie z sekcją.|Nice of you. Szczególnie biorąc pod uwagę, że nie wydawałeś się zadowolony z mojej poprzedniej wizyty.
138|Vampire Medic 03|Don't you know the Eternal Fire burns here, witcher?|Vampire Medic 03|It's hard to believe Nienke dabbled in witchcraft… Such a nice old gran.|Redanian Townswoman 01|No monster will ever find refuge.|Żaden potwór się nie uchowa.|Żaden potwór nie znajdzie tu schronienia.
139|Godling Sara|||||Akh akh akh… You pig! Tryin' to suffocate me, you oaf, you dolt! Someone'll do the same to you one day!|Ty świnio! Chciałeś mnie udusić, buraku, ćwoku! Żeby ci kiedyś to samo zrobili!|Akh akh akh... Ty świnio! Próbujesz mnie udusić, ty osiłku, ty głupcze! Ktoś zrobi ci to samo pewnego dnia!
140|Novigrad Peasant 34|Where's my axe?|Novigrad Peasant 33|How's your health?|Novigrad Peasant 34|All we need now is a storm.|Jeszcze tylko burzy brakowało.|Wszystko czego teraz potrzebujemy, to burza.
141|Geralt|||||Get going!|Jedziemy!|Ruszajmy się!
142|Cyprian Willey|Wi-i-i-tche-e-r! It's all your fault! Happy, you cocksucker?!|Cyprian Willey|Ow!|Cyprian Willey|I've naught left! Not a bloody scrap… of human dignity left!|Nic mi nie zostało! ...Żadnego, kurwa... ludzkiego szacunku!|Nic mi nie zostało! Nie ma ani skrawka... ludzkiej godności!
143|Geralt|||||Smashed bones - that takes strength. No point in trying to parry its blows.|Kości połamane z dużą siłą. Nie warto parować ciosów.|Połamane kości - to wymaga siły. Nie ma sensu próbować parować jego ciosy.
144|Novigrad Bard 02|Rape!|Novigrad Bard 02|Hiya!|Novigrad Bard 02|I've heard of you.|Słyszałem o tobie.|Słyszałem o tobie.
145|Geralt|You do not fear me, do you?|Anabelle|Will you help me now? You promised not to leave me here…|Anabelle|No. Used to dealing with ghosts. Though… gotta admit, there's something about you. You're… different.|Nie. Często mam do czynienia z duchami. Chociaż muszę przyznać, że ty jesteś... inna.|Nie. Przyzwyczaiłem się do radzenia sobie z duchami. Choć... muszę przyznać, że coś w tobie jest innego. Jesteś... różna.
146|Hjalmar|Some say Udalryk's the gods' chosen one.|Geralt|You wouldn't happen to be headin' to Spikeroog?|Hjalmar|They also say the gods are merciful. Witcher, uh, I'm sure Cerys would be glad to see me, but…|Mówią też, że bogowie są miłosierni. Wiedźminie? Cerys na pewno nie ucieszyłaby się na mój widok, ale...|Oni też mówią, że bogowie są miłosierni. Wiedźminie, eh, jestem pewien, że Cerys byłaby rada mnie widzieć, ale...
147|Verden Boy 03|Makin' me a slingshot, gonna hunt bears!|Verden Boy 03|Leg it!|Verden Boy 03|Owhh!|Ała!|Owhh!
148|Verden Woman 05|Thank ye… Farewell.|Verden Woman 05|||Ah, 'tis you… Greetin's.|Ah, to ty... Witaj.|Ah, to ty... Witaj.
149|Geralt|Yes? What is it, Wolf?|Vesemir|Yes. Though that was more than a fiend. What was that bastard's name? Drugan? May the soil lie light upon him.|Vesemir|Realize it's been half a year since we hunted down that fiend in Vorune?|Wiesz, że minęło już ponad pół roku, odkąd załatwiliśmy biesa z Vorune?|Uświadomiłem sobie, że minęło pół roku odkąd ścigaliśmy tego potwora w Vorune.
150|Novigrad Traveler Man 03|Lebioda's wounds!|Novigrad Traveler Man 02|Those armies across the river… mh, worrying. I must resolve matters quickly and leave.|Novigrad Traveler Man 03|Things are generally tidier back in Kovir…|U nas w Kovirze to lepsze porządki...|Rzeczy są ogólnie schludniejsze z powrotem w Kovir…
151|Skellige Fisherman 02|Ptooey.|Skellige Fisherman 02|Somebody help me!|Skellige Fisherman 02|Why, you--!|A żeby cię!|Dlaczego ty...!
152|Novigrad Peasant Woman 01|They did - to defend them from monsters. And humans who can be monsters.|Geralt|Are you?|Geralt|And you believe me to be such?|A ty uwierzyłeś, że ja to potrafię.|I czy uważasz mnie za taką?
153|Geralt|||||No ordinary forge. Medallion's sensing magic.|To nie jest zwyczajna kuźnia. Mój medalion wykrywa magię.|Niezwykła kuźnia. Medalion wyczuwa magię.
154|Geralt|Show me a pond, and I'll show you the drowners. But they didn't destroy the hives.|Geralt|Hmm… Whoever's building this probably lives nearby. I should talk to them.|Geralt|Can't squeeze through here. Gotta find another way in.|Tędy się nie przecisnę. Może jest inne wejście.|Nie mogę się tu przecisnąć. Muszę znaleźć inny sposób wejścia.
155|Verden Woman 02|You gone daft?!|Verden Woman 02|A good to ye.|Verden Woman 02|Oh!|Oj!|Oh!
156|Cirilla Young|||||Hey, watch it.|Ej, uważaj trochę.|Uważaj.
157|Geralt|Kurt, please see why Miss Merigold squeals so convincingly. Perhaps she needs something? Hot irons, for instance?|Menge|Ah, it's immediately apparent - a professional. I find that refreshing.|Menge|Speaking of metal… this goblet's silver. Making sure I'm not a doppler?|Skoro już jesteśmy w temacie metali... Kubek jest ze srebra. Rozumiem, że chciałeś sprawdzić, czy nie jestem dopplerem?|Mówiąc o metalu... ten kielich jest srebrny. Upewniając się, że nie jestem dopplerem?
