|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
84|Nilfgaardian Officer 01|Too big a hassle?|Geralt|I cannot disperse my forces. Temeria's army we have crushed, but its common folk remain, ready to answer a call to arms. So as to this griffin, I can sit on my hands… or hire a professional.|Nilfgaardian Officer 01|No. Too high a risk.|Nie. Za duże ryzyko.|Nie. Zbyt duże ryzyko.|Nie. Zbyt duże ryzyko.
85|Geralt|Bahumum…|Skellige Fisherman 02|Cause that kind of expedition needs a true leader. And a whelp lookin' to collect bumps on his skull can only be its doom. Once I--|Navigator|Javor's from there, or so he claims, and you seem to know these waters. Why didn't you sail with Hjalmar?|Jawor jest miejscowy, a ty znasz te wody. Dlaczego nie popłynęliście z Hjalmarem?|Dlaczego nie popłynąłeś z Hjalmarem?|Javor pochodzi stamtąd, przynajmniej tak twierdzi, a ty zdajesz się znać te wody. Dlaczego nie popłynąłeś z Hjalmarem?
86|Keira Metz|Hm, I lifted the curse, so the island's clear. Anabelle's soul is free. Thing is, turned out she's a pesta. Graham's dead.|Geralt|||"And you failed to notice? You're losing your touch. Be that as it may, Fyke Isle is free of its curse. That's important. I'm almost inclined to say, ""good work."""|I ty się nie zorientowałeś? No nic, najważniejsze, że udało się odczarować Kłomnicę. Dobra robota.|"A ty nie zauważyłeś? Tracisz swój dotyk. Mimo wszystko, Wyspa Fyke jest wolna od klątwy. To ważne. Jestem prawie skłonna powiedzieć, ""dobra robota""."|"Nie zauważyłeś? Tracisz swój dotyk. Jakkolwiek by było, Wyspa Fyke jest wolna od swojej klątwy. To ważne. Jestem prawie skłonny powiedzieć, ""dobra robota""."
87|Geralt|Ooh, this one's got bollocks, don't he.|Novigrad Thug Strong 01|Right cheeky whoreson if I seen one.|Novigrad Thug Strong 01|Faulty memory. I've been here before.|Masz słabą pamięć. Już tu bywałem.|Wadliwa pamięć. Byłem tu już wcześniej.|Uszkodzona pamięć. Byłem tu już wcześniej.
88|Geralt|Huh? They tell you? Clowns.|Talar|Maybe you'd be willing? Gesture of gratitude?|Geralt|Kinda. Didn't offer any details, though.|Tak jakby. Ale bez szczegółów.|Trochę. Nie zaoferował żadnych szczegółów, jednak.|Rodzaj. Nie podał żadnych szczegółów.
89|Holger Blackhand|He's dead.|Hjort|Crach! Where'd those bears come from?! Heh?! Answer! Now!|Lugos The Mad|Raaaaaaaaah!|Raaaaaaaaah!|Aaaaaaaaah!|Raaaaaaaaah!
90|Scoiatael Elf Man 31|I'd not overstay my welcome if I were you.|Scoiatael Man 02|I don't like you, witcher.|Scoiatael Elf Man 31|Ahh...|Ach.|Ahh...|Ahh...
91|Tower|||||Failure to leave when summoned.|Brak reakcji na wezwanie do opuszczenia terenu.|Nieposłuszeństwo poleceniu opuszczenia pomieszczenia.|Nieopuszczenie miejsca na wezwanie.
92|Novigrad Rich Woman 01|You think it a good idea - not to pay Cleaver now?|Novigrad Rich Woman 01|How do you feel?|Novigrad Rich Woman 01|Honestly? I don't know.|Szczerze? Nie wiem.|Naprawdę? Nie wiem.|Szczerze? Nie wiem.
93|Emhyr|Warm welcome. Thank you, Your Majesty.|Geralt|Where is she?|Emhyr|You should have come with my daughter, your welcome would have been different.|Byłoby inne, gdybyś przyprowadził moją córkę.|Powinieneś był przyjść z moją córką, twoje powitanie byłoby inne.|Powinieneś przyjść z moją córką, twoje powitanie byłoby inne.
94|Skellige Warrior 01|It were dark. Kaspar thought he saw somethin', but--|Skellige Warrior 02|It was huge, its maw all blood-smeared! Bugger gutted Ungi with one claw, near spliced 'im in two.|Skellige Warrior 01|Cause I did!|Bo widziałem!|Bo ja też!|Ponieważ to zrobiłem!
95|Novigrad Poor Woman 01|Lights out, curfew, mage is done… His eyes need closin', you're the one!|Novigrad Girl 02|Grant my plea, bring my husband back to health.|Novigrad Poor Woman 01|Eternal Fire… Father of all… Hear my prayer…|Wieczny Ogniu... Ojcze wszechrzeczy... Wysłuchaj mej modlitwy...|Wieczny ogniu... Ojcze wszystkich... Wysłuchaj mojej modlitwy...|Wieczny ogień... Ojcze wszystkich... Wysłuchaj mojej modlitwy...
96|Skellige Blacksmith Helper 02|At your service!|Skellige Blacksmith Helper 02|Eeeh?|Skellige Blacksmith Helper 02|Favorable winds to ye!|Wiatr ci w żagle!|Pomyślnych wiatrów!|Sprzyjające wiatry dla ciebie!
97|Udalryk|You always asleep when they speak to you?|Geralt|What do you see then? Do they try to summon you anywhere specific?|Geralt|Always.|Zawsze.|Zawsze.|Zawsze.
98|Coroner|I underestimated you. You almost caught me in flagrante delicto, now you've seen through my bluff with Nathaniel…|Coroner|Who… What are you?|Geralt|Although… you've not divined all, I see. Had you, you would've drawn your silver sword.|Chociaż... Widzę, że nie wszystko jeszcze odgadłeś. Bo wyciągnąłbyś srebrny miecz.|Chociaż... nie przejrzałeś mnie całkowicie, widzę. Gdybyś to zrobił, wyciągnąłbyś swój srebrny miecz.|Chociaż... nie odgadłeś wszystkiego, widzę. Gdybyś odgadł, wyciągnąłbyś swój srebrny miecz.
99|Witch Whispess|He lived a life of love, and knew no bitterness.|Witch Weavess|||Yum-yum.|Mniam. Mniam.|Pyszne.|Pyszne.
100|Cirilla|A bit different.|Cirilla|I wasn't very good at controlling it. So I had to concentrate intensely and hope I didn't land in the crater of an active volcano.|Cirilla|It was hard going at first.|Na początku było ciężko.|Było trudno na początku.|Na początku było ciężko.
101|Geralt|Folk say an omen, a beautiful phantom rides the fields at night. Looks as you described her. Armies follow her, and all who cross her path meet with misfortune.|Novigrad Nobleman 01|No. Facts interest me, not fairytales.|Novigrad Nobleman 01|I can vouch for the last bit. Know where they saw her?|Za to ostatnie ręczę osobiście... Wiesz, gdzie dokładnie ją widziano?|Mogę potwierdzić ostatni fragment. Wiesz gdzie ją widziano?|Mogę za to ręczyć. Wiesz, gdzie ją widzieli?
102|Novigrad Citizen Man 02|Ahh, nothing hurts as much as life.|Novigrad Citizen Man 02|Run, good folk! We've a madman!|Novigrad Citizen Man 02|All right!|Juuuż!|Dobrze!|W porządku!
103|Verden Peasant 03|Hm?|Verden Peasant 03|What about my reward?|Geralt|Figured ye could use that copper after all, eh?|A jednak grosz by się przydał, co?|Myślałem, że możesz użyć tej miedzi jednak, co?|Może jednak przyda ci się ten miedziany drut, co?
104|Zoltan Chivay|Hm, shame about Caesar. Though he didn't know shite about fish.|Zoltan Chivay|Oh, by the by, splendid job with that last one. Blood splatter nearly hit the ceilin'.|Zoltan Chivay|Ugh. Ehh, you've a soft heart after all, Geralt.|Ech, ty jednak miękkie masz serce, Geralt.|Uff. Ech, masz jednak miękkie serce, Geralt.|Uff. Ech, masz jednak miękkie serce, Geralt.
105|Dudu Biberveldt|Dandelion's on Temple Isle. Imprisoned there. You'll need to find out exactly where.|Geralt|I'll bet my best axe no one'll pester the commander of the Temple Guard.|Zoltan Chivay|But what if they grow suspicious? Start asking questions?|A co, jeśli to wyda im się podejrzane i zaczną mnie pytać...|A co jeśli staną się podejrzliwi? Zaczną zadawać pytania?|A co jeśli zaczną nabierać podejrzeń? Zadawać pytania?
106|Geralt|||It's quite simple, Geralt. I cannot be indifferent to Redania's fate. Call it… patriotic concern.|Dijkstra|Surprised to see you still dabbling in politics.|Zaskoczyło mnie, że jednak wciąż maczasz palce w polityce.|Zaskoczony widzieć cię nadal zaangażowanego w politykę.|Zdziwiony, że nadal bawisz się w politykę.
107|Geralt|You believe I…? Do you not remember we were once lovers?|Philippa Eilhart|Ahh, you see, Geralt, there are those who keep politics separate from their private lives, and those who do not.|Philippa Eilhart|Maybe it's just me, but I think you'd consider that in itself to be reason enough. Actually, I've long wondered why you parted. Quarelled, even.|Domyślam się, że dla ciebie to już jest wystarczający powód. Wiesz, właściwie to zawsze się zastanawiałem, co was poróżniło.|Może to tylko ja, ale myślę, że sam fakt, że byliśmy kochankami, byłby dla ciebie wystarczającym powodem. Tak naprawdę od dawna zastanawiam się, dlaczego się rozstaliście. Pokłóciliście się nawet.|Może to tylko ja, ale myślę, że samo to byłoby wystarczającym powodem. W rzeczywistości od dawna zastanawiam się, dlaczego się rozstaliście. Pokłóciliście się, nawet.
108|Geralt|See any drowned dead, or other shitzards around here?|Novigrad Nobleman 02|Clever man, eh? All right, we'll play, provided you've coin.|Novigrad Nobleman 02|Nope, no monsters. Great opportunity to play some cards.|Ani śladu. Dlatego możemy w spokoju zagrać w karty.|Nie ma tu żadnych potworów. Świetna okazja do zagrania w karty.|Nie, żadnych potworów. Świetna okazja do zagrania w karty.
109|Verden Peasant 01|I ever have a son, I'll name him Geralt.|Verden Peasant 01|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Verden Peasant 03|Swish, swash, witchman buccaneer!|Nie ma chojraka nad wiedźmaka!|Ciach, ciach, czarodziejski pirat!|Szumi, szumi, czarowniku piracie!
110|Novigrad Peasant 03|You captain of this tub?|Geralt|||What's it to you?|A co?|Co ci do tego?|Co ci do tego?
111|Temerian Woman 02|They don't live in separate huts, but all in one big 'ouse, like ants in an anthill.|Temerian Woman 02|Is that how we're gonna live now?|Temerian Woman 03|And just like ants, they blindly serve and obey. All there work from dawn to dusk, knowing no rest or comfort.|I jako mrówcy ślepo posłuszni są i karni. Każden tam jeno pracuje od rana do nocy, śmiechu ni odpoczynku nie zaznaje.|I tak jak mrówki, oni ślepo służą i wykonują rozkazy. Pracują od świtu do zmierzchu, nie znając odpoczynku ani wygody.|I tak jak mrówki, ślepo służą i posłusznie wykonują rozkazy. Pracują od świtu do zmierzchu, nie znając odpoczynku ani wygody.
112|Novigrad Girl 31|My mum said I'll turn into a striga if I don't eat my dinner!|Novigrad Girl 13|I'm not afraid.|Novigrad Girl 31|Can girls become witchers, too?|A czy dziewczyna może zostać wiedźminem?|Czy dziewczyny też mogą zostać czarodziejkami?|Czy dziewczyny też mogą zostać wiedźminami?
113|Eternal Fire Guard 02|But I've no animals with me…|Elf Man 31|Hard times we live in, so I wondered if I could, well, have a go for half price?|Novigrad Citizen Man 01|No. I'm talkin' about you. So pay, or go back to rut in the furrows.|Nie. Ale sam jesteś bydło. Albo zapłacisz, albo wracaj na miedzę trawę żryć.|Nie. Mówię o tobie. Więc płać, albo wracaj ryć w bruzdach.|Nie. Mówię o tobie. Więc płać, albo wracaj do rycia w bruzdach.
114|Cirilla|Hm, how do you even know about that?|Geralt|||Eskel told me. But I want to hear you tell it. I'm certain you have a rational explanation.|Eskel mi opowiedział. Ale chciałabym też usłyszeć twoją wersję. Na pewno jakoś to wyjaśnisz.|Eskel mi powiedział. Ale chcę usłyszeć, jak ty to opowiadasz. Jestem pewna, że masz racjonalne wyjaśnienie.|Eskel mi powiedział. Ale chcę usłyszeć, jak ty to mówisz. Jestem pewien, że masz racjonalne wyjaśnienie.
115|Novigrad Girl 03|That hurt!|Novigrad Girl 03|Help!|Novigrad Girl 03|Aaaaa!|Aaaaa!|Ach!|Aaaaa!
116|Baron|I was supposed to find her. And I did. That was our deal, nothing more.|Geralt|Actually, that's exactly what I think.|Geralt|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Ty pewnie dalej myślisz, że jestem skończonym skurwysynem, prawda? I że to, co się stało, to wyłącznie moja wina?|Nadal uważasz mnie za zepsutego do szpiku kości, podłego drania, prawda? Myślisz, że tylko ja jestem winny tego, co się tu wydarzyło.|Nadal uważasz mnie za zepsutego do szpiku kości, podłego drania, prawda? Myślisz, że tylko ja jestem winny temu, co się tu stało.
117|Donar An Hindar|You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.|Donar An Hindar|I've better. I've a witness. Arnvald!|Cerys|Have you any proof to confirm your accusation?|Masz dowody na potwierdzenie swoich słów?|Masz jakiekolwiek dowody potwierdzające twoje oskarżenie?|Czy masz jakiekolwiek dowody potwierdzające twoje oskarżenie?
118|Karl Varese|Aaaaaa-!|Novigrad Prostitute 01|Any weapons tucked away?|King Beggar|Bloody hell, I fucking knew it!|Noż kurwa mać, wiedziałem!|Cholera jasna, mówiłem, że tak będzie!|Cholera jasna, wiedziałem to!
119|Verden Old Woman 02|Good mornin'.|Verden Old Woman 02|Yeah?|Verden Old Woman 02|Greetin's.|Witajcie.|Pozdrawiam.|Pozdrowienia.
120|Skellige Priestess 02|So, it's a complex curse… Meaning I need more information.|Geralt|Speak with Toradar's son, Einar. He was in the garden when Morkvarg and his men attacked. He saw what happened. Of all the pilgrims there at the time, he alone escaped with his life.|Skellige Priestess 01|I understand… But I've told you all I know.|Rozumiem. Ale nie wiem nic więcej ponad to, co już powiedziałam.|Rozumiem... Ale powiedziałam ci już wszystko, co wiem.|Rozumiem... Ale powiedziałem ci wszystko, co wiem.
121|Skellige Fisherman 05|Felt it comin' a while now! They poisoned King Bran first, now their whole fleet's upon us!|Skellige Fisherman 04|Crach's son Hjalmar, his head's melted! He sailed off to kill the Ice Giant!|Skellige Fisherman 05|Oh, this again.|Ech, znowu to samo.|Oh, to znowu.|Och, znowu to.
122|Skellige Woman 01|I couldn't help overhearing. Fate was unkind to your menfolk.|Yennefer|To you continentals, war started a half year back. We've been fightin' Nilfgaard for years now.|Skellige Woman 02|Widows' isles - that's what Skellige is.|Skellige to wyspy wdów.|Wdowie wyspy - takie jest Skellige.|Wyspy wdów - takie jest Skellige.
123|Hattori|Want me to help you get your supplies? How?|Geralt|It's just… he demanded an inordinately large share of the profits. I thought you might help me negotiate. I don't mean gratis. I'm certain we can agree on a fee.|Hattori|Just come with me to a meeting. As my bodyguard, it'll bolster my confidence. Truth be told, not so long ago I tried negotiating some iron deliveries with one of the King of Beggars' men.|Wystarczy, że poszedłbyś ze mną na spotkanie. W charakterze ochrony. Swego czasu w sprawie dostaw żelaza pertraktowałem z człowiekiem Króla Żebraków.|Po prostu chodź ze mną na spotkanie. Jako moja ochrona, doda mi to pewności siebie. Prawdę mówiąc, nie tak dawno temu próbowałem negocjować dostawy żelaza z jednym z ludzi Króla Żebraków.|Chodź ze mną na spotkanie. Jako mój ochroniarz, doda mi to pewności siebie. Prawdę mówiąc, nie tak dawno temu próbowałem negocjować dostawy żelaza z jednym z ludzi Króla Żebraków.
124|Troll_2|Yaaaaawn…|Troll_2|Whiteman.|Troll_2|Bang-bang troll. In noggin.|Coś mnie kuje. We łbie.|Uderzam w głowę trolla.|Troll bang-bang. W głowie.
125|Nilfgaardian Soldier 01|||||Damn the dogs. He's hidden somewhere!|Szlag, przyczaił się gdzieś!|Cholera z tymi psami. Gdzieś się schował!|Do diabła z psami. On się gdzieś ukrywa!
126|Avallach|From the look of things, pretty soon Ciri won't need your help anymore.|Geralt|True. She'll do whatever she wants - and I'll support her. What about you? Ready to let her live her own life?|Geralt|Nor yours.|Ani twojej.|Nie twoja też.|Ani twoje.
127|Cirilla|No one doubts that, child. But remember the most important moment when hunting a monster?|Vesemir|After the council I'll give you an amulet. If you use it, a ball of fire will land where you're standing. Just in case.|Triss|Wait for an opportunity.|„Wyczekiwanie na dogodną okazję”.|Poczekaj na okazję.|Czekaj na okazję.
