speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Skellige Villager 06|Keep your distance, vagrant!|Skellige Warrior 02|Hahaha! I won!|Skellige Warrior 02|No one can outrace Speedy Osvald!|Nikt nie prześcignie Szybkiego Osvalda!|Nikt nie dogoni Speedy'ego Osvalda!|Nikt nie dogoni Szybkiego Osvalda!|Nikt nie może prześcignąć Szybkiego Osvalda!
Cirilla|Hmm… There!|Cirilla|I'm here.|Geralt|Valdo!|Valdo!|Valdo!|Valdo!|Waldo!
Yennefer|She's stopped.|Yennefer|Philippa's turned pale!|Yennefer|She's saying something.|Coś mówi.|Ona coś mówi.|Ona coś mówi.|Ona coś mówi.
Geralt|Hah! Look who we have here!|Baron Bandit Weak 01|Life's short, but art's eternal.|Baron Bandit Weak 01|Business seems good, even with the baron gone.|Nawet bez Barona interes kwitnie.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Życie jest krótkie, ale sztuka wieczna.|Biznes idzie dobrze, nawet z baronem odszedł.
Hallgrim|Strong blood? What're you talking about?|Geralt|We've talked enough.|Hjalmar|I speak of the she-bear and her cub.|O niedźwiedzicy i jej młodym.|Mówię o niedźwiedzicy i jej młodych.|Mówi o niedźwiedzicy i jej młodym.|Mówię o niedźwiedzicy i jej małym.
Cirilla|Really, there's no need… I feel fine now.|Cirilla|Fine? You can't stand on your own two feet…|Skellige Woman 04|Hey!|Heej!|Hey!|Hey!|Cześć!
Dandelion|||||Ugh… You're better than I thought…|Uch... Jest lepszy, niż myślałem...|Ugh… Jesteś lepszy niż myślałem…|Ugh… Jesteś lepszy niż myślałem…|Uff... Jesteś lepszy niż myślałem...
Priscilla|We have, but can't really say how it'll turn out without Polly here… The girls claim they know what they're doing, but it all looks a little like an orchestra without a conductor.|Dandelion|Well, well… see the crew's been hard at work. Not bad.|Geralt|Don't worry, they'll be fine. And if anything goes wrong, we can wave them off the stage, start our concert early.|Nie martw się, poradzą sobie. A jak coś pójdzie nie tak, damy im znać, żeby zeszły ze sceny, i zaczniemy nasz koncert wcześniej.|Nie przejmuj się, poradzą sobie. A gdyby coś poszło nie tak, możemy ich odwołać ze sceny i zacząć nasz koncert wcześniej.|Nie przejmuj się, poradzą sobie. A gdyby coś poszło nie tak, możemy ich odwołać ze sceny i zacząć nasz koncert wcześniej.|Nie martw się, będą w porządku. A jeśli coś pójdzie nie tak, możemy ich odwołać ze sceny, zacząć nasz koncert wcześniej.
Geralt|||I've no clue! First time I've laid eyes on 'em. Maybe… well, recently someone's been tryin' to question our messengers... 'bout the young count.|Novigrad Poor Man 03|What'd they want from you?|Czego od ciebie chcieli?|Czego jak czego, ale nekkerów to się akurat nie boję.|Nie mam pojęcia! Pierwszy raz ich widziałem. Może... ostatnio ktoś próbował wypytywać naszych posłańców... o młodego hrabiego.|Czego chcieli od ciebie?
Novigrad Poor Man 03|Mornin'.|Novigrad Poor Man 03|You'd do well not to pester folk.|Novigrad Poor Man 03|How is everyone?|W domu wszyscy zdrowi?|Jak się macie?|Jak się macie?|Jak się wszyscy mają?
Geralt|Peter Piper picked Prince Proximo a peck of pickled peppers by the Pontar. Hahaha.|Godling Johnny|"My favorite words... Life without savoring the sound of ""surreptitious shananacking"" is like licking snails through a cloth."|Godling Johnny|Done celebrating?|Już się nacieszyłeś?|Czy już świętujesz?|"Moje ulubione słowa... Życie bez delektowania się brzmieniem ""skrytego szabru"" jest jak lizanie ślimaków przez szmatkę."|Już po świętowaniu?
Geralt|"""Give me the first thing you see when you get home."" My life… For the life of that prick? I say fuck that kinda destiny."|Lambert|Isn't it? Real side-splitter, I think.|Lambert|Wow… truly great story.|Faktycznie... Wyborna opowieść.|Wow… naprawdę świetna historia.|Wow… prawdziwie wspaniała historia.|Wow… naprawdę wspaniała historia.
Geralt|||||Anyone there?! You can come out! It's safe now!|Jest tam ktoś żywy?! Jeżeli tak, to może wyjść! Jest już bezpiecznie!|Ktokolwiek tam jest?! Możecie wyjść! Jest już bezpiecznie!|Ktokolwiek tam jest?! Możecie wyjść! Jest już bezpiecznie!|Czy ktoś tam jest? Możecie wyjść! Jest już bezpiecznie!
Elf Man 37|Good day.|Elf Man 36|What are you looking at?|Elf Man 37|I wonder if the river's rising.|Ciekawe, czy rzeka przybierze?|Czyżby rzeka wzbierała?|Czyżby rzeka wzbierała?|Zastanawiam się, czy rzeka wzbiera.
Temerian Woman 01|Do I know it? Can't remember how many times I've been there, how many times Mother Nenneke stitched me up.|Geralt|Hm… I was but eighteen when they took me in. An age at which teachings interest one far less than love.|Temerian Woman 01|We must've missed each other. I studied to become a healer under Mother Nenneke.|Musieliśmy się mijać. Uczyłam się u niej na uzdrowicielkę.|Widocznie minęliśmy się. Uczyłam się u Matki Nenneke, by zostać uzdrowicielką.|Widocznie minęliśmy się. Uczyłam się u Matki Nenneke, by zostać uzdrowicielką.|Musieliśmy się minąć. Uczyłem się, by zostać uzdrowicielem pod okiem Matki Nenneke.
Geralt|Hahahahahahah! Now why would I help you?|Elf Female 03|And what will I get out of it?|Elf Female 03|It's really important to my friend here.|Mojemu przyjacielowi bardzo na tym zależy.|To bardzo ważne dla mojego przyjaciela.|I co ja będę z tego mieć?|To jest naprawdę ważne dla mojego przyjaciela tutaj.
Geralt|I… I didn't want to… Aki fell in the water… I… the gods will be angry.|Udalryk|They are that just.|Udalryk|Angry you want to make peace with your brother? Are the gods of Skellige that cruel?|Rozgniewają się, że chcesz pogodzić się z bratem? Skelliscy bogowie są aż tak okrutni?|Chcesz obrazić bogów, żeby pogodzić się ze swoim bratem? Czy bogowie Skellige są aż tak okrutni?|Chcesz obrazić bogów, żeby pogodzić się ze swoim bratem? Bogowie Skellige są aż tak okrutni?|Wściekły chcesz pogodzić się z bratem? Czy bogowie Skellige są aż tak okrutni?
Triss|Don't know. No idea, honestly.|Geralt|No. It's just, instead of dwelling on the future, I'd rather live in the moment. Like we are now.|Geralt|Trying to weasel out of answering again. You rascal.|Znowu się próbujesz wymigać. Nieładnie.|Próbujesz się wykręcać od odpowiedzi kolejny raz. Ty łotrze.|Zamiast zamartwiać się przyszłością, wolę żyć chwilą obecną. Tak jak teraz.|Próbując wymigać się od ponownej odpowiedzi. Ty szczurze.
Yennefer|Come on. Triss? That's the past. You know that.|Geralt|Very well… On to more pressing matters. We've a great deal of work to do.|Yennefer|I do. But that does not mean I've forgotten it.|Wiem. Co nie oznacza, że o tym zapomniałam.|Wiem. Ale to nie oznacza, że o tym zapomniałam.|Wiem. Ale to nie oznacza, że o tym zapomniałam.|Tak, robię to. Ale to nie oznacza, że zapomniałem.
Verden Old Man 03|Gimme the key to the door.|Geralt|No, wanna pour wax through its head, tell you your fortune. Now gimme the key.|Geralt|You'd go in?|Chcesz tam wejść?|Chcesz wejść?|Chcesz wejść?|Wszedłbyś?
Geralt|||||Fur shreds.|Strzępy futra.|Fur strzępy.|Fur shreds.|Strzępy futra.
Geralt|Hmm, no man did this…|Geralt|Tuft of fur… Ugh, whatever lost it hasn't bathed in a while.|Geralt|Hmm. Cuts… made with long claws. Flesh torn clear off.|Hmm... Rany cięte, jak od długich szponów... A tu wyrwane kawałki ciała...|Hmm. Rany... zadane długimi pazurami. Mięso oderwane od ciała.|Hmm. Rany... zadane długimi pazurami. Mięso oderwane od ciała.|Hmm. Cięcia... zrobione długimi pazurami. Mięso oderwane od ciała.
Novigrad Dockworker 01|Call the Guard!|Novigrad Dockworker 01|Seems you're trim and healthy.|Novigrad Dockworker 02|Skellige's got a new king? What of it? Not a man in the Isles can be trusted!|Na Skellige nowy król? I co z tego? Żadnemu z Wyspiarzy nie wolno ufać!|Skellige ma nowego króla? Co z tego? Żaden mieszkaniec Wysp nie jest godny zaufania!|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Skelligi mają nowego króla? I co z tego? Żaden mężczyzna na Wyspach nie jest godny zaufania!
Skellige Woman 01|Fire!|Skellige Woman 01|Modron Freya, protect us from all evil!|Skellige Woman 01|Aaaaaaah!|Aaaaaaa!|Aaaaaaah!|Aaaaaaah!|Aaaaaaah!
Nilfgaardian Soldier 01|Huh, you Black Ones aren't so scary after all. Can even be nice if you want to.|Geralt|To the tower. Go.|Nilfgaardian Soldier 03|Don't get accustomed, Nordling.|Nie przyzwyczajaj się, Nordlingu.|Nie przyzwyczajaj się, Nordlingu.|Nie przyzwyczajaj się, Nordlingu.|Nie przyzwyczajaj się, Nordlingu.
Skellige Warrior 01|Crach entrustin' his doin's to continentals - that's why he's damn impossible to reason with.|Skellige Warrior 02|Folk say the whelp would've returned from Undvik as gnawed bones if not for that witcher.|Skellige Warrior 02|I'd even 'ave thought Hjalmar worthy of the crown if he'd slain the giant himself.|Może bym i uwierzył, że Hjalmar nadaje się na króla, gdyby sam tego giganta ubił.|I'd even have thought Hjalmar worthy of the crown if he'd slain the giant himself.|To przez to, że Crach powierza swoje sprawy kontynentalnym - stąd jest tak trudny do przekonania.|Nawet pomyślałbym, że Hjalmar jest godny korony, gdyby zabił olbrzyma własnoręcznie.
Scoiatael Man 02|Do you think I fear death?|Scoiatael Man 02|At him from both sides!|Scoiatael Man 02|Aen Seidhe!|Aen Seidhe!|Ach, Elfy!|Ach, Elfy!|"Aen Seidhe!

(Tłumaczenie dosłowne, bez dodatkowych wyjaśnień.)"
Geralt|Expense? Expense?! Not a word 'bout the help I give in return - blessin's, absolutions, enlightened advice? Believe me, these folks need all of it! I'd watch over 'em still if they fulfilled their end. But lately they offer these pathetic scraps.|Fugas|And I'll not lift it till they bring me worthy offerings! I'm to settle for curds and whey? Not a chance. And you can tell them that!|Fugas|…That they steal from the mouths of their children. And to make matters worse, you cast a curse on them.|...które odjęli od ust własnym dzieciom. A ty jeszcze rzucasz na nich klątwę.|…Że okradają swoje własne dzieci. A sprawy mają się jeszcze gorzej – rzuciłeś na nich klątwę.|…Że okradają swoje dzieci z jedzenia. A sprawy mają się jeszcze gorzej – rzuciłeś na nich klątwę.|Że okradają usta swoich dzieci. I aby sprawy były jeszcze gorsze, rzucasz na nich klątwę.
Geralt|||Magic accessories. Alchemy ingredients, potions, and much more.|Halfling Man 01|All right. What've you got there?|No, co tam masz?|W porządku. Co tam masz?|Magiczne akcesoria. Składniki alchemii, mikstury i wiele więcej.|W porządku. Co tam masz?
Skellige Woman 05|And heard screams and poundin'!|Skellige Villager 02|||Ye got pissed on mead! 'Twas your own thick skull poundin'!|Miodu się opiłeś, to ci we łbie łomotało!|Słyszałam krzyki i łomot!|Słyszałam krzyki i łomot!|Nasikałeś na miód! To twoja własna gruba czaszka dudniła!
Geralt|Hrr those who come hrr hrrr rrarrely introduce themselves. Hrr hrr hrr what hrr did he look like? Hrrr…|Morkvarg Warewolf|Hrr then I cannot hrr help you! Hrr I've shredded hrrr hrr many! Hrr hrr…|Morkvarg Warewolf|Uhh, no idea.|Nie mam pojęcia.|Uhh, no idea.|Uhh, no idea.|Uhh, nie mam pojęcia.
Crach|Aaaaaaaaaaaaaaa!|Lady Bran|Tuirseach!|Holger Blackhand|Tuirseach!|Tuirseach!|Tuirseach!|Tuirseach!|Tuirseach!
Keira Metz|Let's go, then.|Geralt|Missed a spot.|Geralt|Yes, let's.|Tak, chodźmy.|Tak, chodźmy.|Tak, chodźmy.|Tak, zróbmy to.
Novigrad Noblewoman 02|Haha! Look at the redhead!|Novigrad Old Woman 02|||Go on, chase her! When a woman runs it means she wishes to be caught, desperately!|Eej, goń ją! Kiedy kobieta ucieka, to tylko po to, żeby ją łapać!|Śmiało, goń ją! Kiedy kobieta ucieka, oznacza to, że chce być złapana, bardzo tego pragnie!|Śmiej się, śmiej. Kiedy kobieta ucieka, oznacza to, że chce być złapana, bardzo tego pragnie!|Dalej, goń ją! Kiedy kobieta ucieka, oznacza to, że chce zostać złapana, rozpaczliwie!
Voorhis|So, talked to the emperor.|Geralt|So not even you know.|Geralt|Hm. Why did he summon you?|Mhm. I czemu cię wezwał?|Dlaczego cię wezwał?|Tak, porozmawiałem z cesarzem.|Hm. Dlaczego mnie wezwałeś?
Triss|Knew exactly what he was signing up for.|Geralt|This is no time to mourn. Come with me.|Triss|Small comfort…|Marna pociecha...|Marna pociecha...|Marna pociecha...|Małe pocieszenie...
Novigrad Dockworker 02|Ah, don't give a flyin' fuck.|Novigrad Dockworker 02|Killed the scag, then slit her fancy man open like a prime porker!|Novigrad Dockworker 02|Milk in his belly makes a man smelly.|Kto pija mleko, ten rzyga daleko.|Mleko w brzuchu sprawia, że człowiek śmierdzi.|Mleko w brzuchu sprawia, że człowiek śmierdzi.|Mleko w brzuchu sprawia, że człowiek śmierdzi.
Dwarf Man 03|Talk to your neighbors? They see anything suspicious beforehand? Hear anything?|Geralt|Anyone home?|Geralt|Claimed not to. But even if they had, they'd not 'ave helped. In Novigrad folk give bleedin' orphans in the street a wide berth so as not to stain their poulaines. What do they care about some dwarf?|Mówili, że nie. A nawet jakby słyszeli, to i tak by nie pomogli. W Novigradzie ludzie przejdą obok krwawiącego dziecka na ulicy, żeby trzewików nie pobrudzić – to co ich obchodzi byle krasnolud?|Twierdzili, że nie widzieli i nie słyszeli niczego podejrzanego. Ale gdyby nawet, to i tak by nie pomogli. W Novigradzie ludzie omijają szerokim łukiem żebrzących na ulicy, aby nie pobrudzić swoich pończoch. Co ich obchodzi jakiś krasnolud?|Twierdzili, że nie widzieli niczego podejrzanego. Ale gdyby nawet widzieli, to i tak by nie pomogli. W Novigradzie ludzie omijają szerokim łukiem żebrzących na ulicy sierot, żeby nie pobrudzić swoich pończoch. Co ich obchodzi jakiś krasnolud?|Twierdzą, że nie. Ale nawet gdyby tak było, i tak by nie pomogli. W Novigradzie ludzie szerokim łukiem omijają krwawiące sieroty na ulicach, żeby nie poplamić swoich poulainów. A co ich obchodzi jakiś krasnolud?
Novigrad Old Woman 11|I'm ninety-three years old, madam. So no, I'm not too young.|Gnome Man 01|That's because I'm a halfling, madam. And I'd suggest eye drops, chamomile extract.|Gnome Man 01|Is that nice, lying to your elders? My eyes aren't what they once were, but I can see you're three feet tall and walk around barefoot!|Ładnie tak kłamać starszej osobie? Oczy nie te, co kiedyś, ale widzę przecie, że masz trzy stopy wzrostu i boso biegasz!|To bardzo miło, że okłamujesz starszych? Moje oczy nie są już takie jak dawniej, ale widzę, że masz trzy stopy wzrostu i chodzisz boso!|To miło, że oszukujesz starszych? Moje oczy nie są już takie jak dawniej, ale widzę, że masz trzy stopy wzrostu i chodzisz boso!|Czy to miłe okłamywać starszych? Moje oczy nie są już takie jak kiedyś, ale widzę, że masz trzy stopy wzrostu i chodzisz boso!
Novigrad Old Woman 11|Those elves, they're as evil as those mages! Let them die, I say!|Novigrad Old Woman 03|Woo-ah! Akh akh! Woo-ah!|Novigrad Old Woman 11|Akh akh. Akh akh.|A kche kche!|Cóż cóż. Cóż cóż.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ach ach. Ach ach.
Novigrad Bard 02|Hiya!|Novigrad Bard 02|King Radovid the Extraordinary, Took Novigrad for his crowning glory…|Novigrad Bard 02|Oh, dear mother. Thief!|O matko. Złodziej!|Och, droga matko. Złodziej!|Och, droga matko. Złodziej!|Och, droga matko. Złodziej!
Geralt|Nor yours.|Avallach|I shan't force her to do anything, if that's your question.|Avallach|True. She'll do whatever she wants - and I'll support her. What about you? Ready to let her live her own life?|Zgadza się. Będzie mogła zrobić, co zechce – i ja ją w tym wesprę. A ty? Jesteś gotów dać jej wreszcie żyć własnym życiem?|Zrobi to, co będzie chciała - a ja będę ją wspierał. A ty? Pozwolisz jej żyć własnym życiem?|I shan't force her to do anything, if that's your question.|Prawda. Zrobi wszystko, co zechce - a ja ją wesprę. A ty? Jesteś gotów pozwolić jej żyć własnym życiem?
Morkvarg|||||Rrrrrraaargh!!|Wrrrrrraagh!|Rrrrrraaargh!!|Rrrrrraaargh!!|Rrrrrraaargh!!
Geralt|||||No use to me now.|Nie będzie z niego pożytku.|Nie ma dla mnie żadnego pożytku teraz.|No use to me now.|Na nic mi się teraz nie przyda.
Triss|Triss! Found an exit.|Geralt|||Ooof… For a minute, I actually thought we were doomed.|Uff... Już myślałam, że wszystko szlag trafi.|Ach... Przez chwilę pomyślałam, że już po nas.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Uff... Przez chwilę naprawdę myślałem, że jesteśmy skazani na zagładę.
