speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Skellige Fisherman 02|… you'd rather sit on your arse, nose in the air, you Zerrikanian princess?! Brave lad comes along, you sail with 'im!|Skellige Fisherman 02|You'd sail with anyone who'd let you aboard - Crach's daughter included.|Navigator|I'd 'ave sailed with Hjalmar if only those sea-whores hadn't banjaxed my knee. Woulda sailed 'stead of sharin' a table with a grumpy barnacle like you.|Gdyby mi te morskie kurwy nóg nie poszarpały, sam bym popłynął z Hjalmarem, zamiast dzielić stół z taką zrzędą jak ty...|Popłynąłbym z Hjalmarem, gdyby te morskie świnie nie uszkodziły mi kolana. Wolałbym płynąć, zamiast dzielić stół z marudnym krabem takim jak ty.|Popłynąłbym z Hjalmarem, gdyby te morskie dziwki nie uszkodziły mi kolana. Popłynąłbym, zamiast dzielić stół z marudnym pąklowym takim jak ty.
Geralt|||||Kept in there until the end.|Tych ludzi trzymano w klatkach aż umarli...|Trzymano go tam do samego końca.|Trzymany tam do końca.
Geralt|Ooh, this one's got bollocks, don't he.|Novigrad Thug Strong 01|Tut-tut - you people, honestly. Got nerve comin' to the front door. You're brazen, it ain't right.|Novigrad Thug Strong 02|Wanna see Junior.|Nieważne. Chcę się widzieć z Juniorem.|Chcesz zobaczyć małego?|Chcę zobaczyć Juniora.
Geralt|How'd you even wind up out here?|Geralt|You sayin' the Black Ones have no use for cobblers?|Talar|Nilfgaard occupied land now.|To teraz ziemie Nilfgaardu.|Nilfgaard zajmuje teraz te ziemie.|Nilfgaard zajmuje teraz ziemie.
Donar An Hindar|Then come here! C'mon! Put you down like a rabid dog!|Lugos The Mad|Someone brought these beasts here to murder our sons and brothers. We cannot restore their lives.|Donar An Hindar|Calm down! Calm down! Enough blood's been spilt!|Spokój! Spokój!!! Dość już krwi rozlano!|Uspokój się! Uspokój się! Wystarczy już tej krwi!|Uspokój się! Uspokój się! Wystarczy już przelanej krwi!
Scoiatael Elf Man 31|I don't like you, witcher.|Scoiatael Elf Man 31|You bitch!|Scoiatael Elf Man 31|Blah, blah, blah.|Bla, bla, bla.|Blablabla, blablabla, blablabla.|Blah, blah, blah.
Geralt|Mhm. The library might be a logical place to start. The key should be in the laboratory.|Mage 02|As you enter the room opposite, you'll see the laboratory to your left, the library straight ahead. But remember - you're an intruder. The tower is certain to want to stop you, make things difficult, at the least.|Mage 02|Where's that?|A gdzie to jest?|Gdzie to jest?|Gdzie to jest?
Novigrad Rich Woman 01|My regards to your mother!|Novigrad Rich Woman 01|Yes, master?|Novigrad Rich Woman 01|Unbelievable, a witcher in Novigrad. What will the priests say?|Nie wierzę, wiedźmin w Novigradzie. Co na to kapłani?|Nie do wiary, czarodziej w Nowym Mieście. Co powiedzą kapłani?|Nie do wiary, wiedźmin w Novigradzie. Co powiedzą kapłani?
Emhyr|Close, White Wolf, is what you are to decapitation.|Emhyr|Yet that will change one day. When you are no longer indispensable but… disposable.|Emhyr|You're insolent because you believe I cannot afford to hurt you. And you're right.|Jesteś bezczelny – bo sądzisz, że nie zrobię ci teraz krzywdy. I masz rację.|Jesteś bezczelny, ponieważ uważasz, że nie mogę cię skrzywdzić. I masz rację.|Jesteś bezczelny, ponieważ uważasz, że nie mogę sobie pozwolić, by cię skrzywdzić. I masz rację.
Skellige Warrior 01|Hm, interesting. Thanks.|Geralt|Still here, witcher? Cut the beast down, have ye?|Skellige Warrior 01|Huh? For what?|Ale niby za co?|Hę? Za co?|Huh? Dla czego?
Novigrad Poor Woman 01|He's a good man. Honest… Righteous…|Novigrad Poor Woman 01|Longer it lasts, worse it gets. Radovid was late with our pay a whole week.|Novigrad Thug Strong 02|Eternal Fire, you're my only hope… Grant what I ask, and I'll spare no offerin'…|Wieczny Ogniu, w tobie ostatnia nadzieja... Nie poskąpię ofiary, jeżeli wysłuchasz mej prośby.|Wieczny Ogień, jesteś moją jedyną nadzieją... Udziel tego, o co proszę, a nie oszczędzę żadnej ofiary...|Wieczny ogniu, jesteś moją jedyną nadzieją... Udziel tego, o co proszę, a nie oszczędzę niczego ofiarując...
Skellige Blacksmith Helper 02|Eeeh?|Skellige Blacksmith Helper 02|Hey now…|Skellige Blacksmith Helper 02|Foreign lad. Well, well.|Zagranicznik. No, no.|Cudzoziemiec. No cóż.|Obcokrajowiec. No cóż.
Cerys|||I… I had to. The gods commanded it.|Udalryk|But why? Why'd you do it?!|Ale czemu? Czemu to zrobiłeś?!|Ale dlaczego? Dlaczego to zrobiłeś?!|Ale dlaczego? Dlaczego to zrobiłeś?!
Coroner|Good to know this was the work of a monster, not a human.|Geralt|Afraid you won't get the chance to tell me about them. 'Cause I'm gonna kill you.|Geralt|Believe me. Worse things go on in this city than my little… spectacles. Far worse.|Uwierz mi. W tym mieście dzieją się rzeczy znacznie gorsze od moich... inscenizacji.|Uwierz mi. W tym mieście dzieją się gorsze rzeczy niż moje... okulary. Znacznie gorsze.|Uwierz mi. W tym mieście dzieją się gorsze rzeczy niż moje małe... okulary. Znacznie gorsze.
Cirilla|Your taste lingers on our tongues.|Witch Brewess|||You've talked enough.|Koniec gadania.|Wystarczy już tych rozmów.|Wystarczy już tego mówienia.
Novigrad Boy 01|||You stink!|Novigrad Boy 02|Stupid old goat!|Stary cap!|Głupi stary cap!|Głupi stary kozioł!
Novigrad Nobleman 01|Not a place I'd ever expect to find a scholar. Take it you're fleeing the war?|Geralt|Tired of life?|Geralt|Quite the opposite. Chasing it. I'm headed for the front.|Wręcz przeciwnie. Jadę na front.|Dokładnie odwrotnie. Gonię je. Jadę na front.|Dokładnie odwrotnie. Ścigam je. Jestem skierowany na przód.
Novigrad Citizen Man 02|Run, good folk! We've a madman!|Novigrad Citizen Man 02|Eternal Fire burn bright in my heart.|Novigrad Citizen Man 02|Eternal Fire!|Wieczny Ogniuuuu!|Ogień wieczny!|Wieczny ogień!
Verden Peasant 03|It's taken care of. It was a grave hag that dug up the graves and snatched the child.|Geralt|What about my reward?|Geralt|Aye, so… how is the little tyke?|A właśnie – co z tym małym?|Ach, no tak... Jak się ma ten mały urwis?|Tak, no... jak się ma ten mały urwis?
Geralt|Right. Gotta pack.|Dwarf Man 01|||Good luck, then. Farewell.|No to powodzenia. Bywaj.|Powodzenia, więc. Żegnaj.|Powodzenia, więc. Żegnaj.
Dudu Biberveldt|Things get spicy you'll just nip round the corner and transform into a buxom wench, a jackdaw or whatever else strikes your fancy.|Zoltan Chivay|I feel strange, both of you staring at me bug-eyed. Is that enough?|Cirilla|Of course. It's that simple. Thanks.|Jasne. Dzięki.|Oczywiście. To takie proste. Dziękuję.|Oczywiście. To takie proste. Dziękuję.
Geralt|Why? Truth be told they're awfully similar. Both about maintaining a net of informers, being tough in negotiations, bribing officials… the occasional assassination. Same old shit.|Dijkstra|Now I've decided I've slaved enough for ideals. It's time I worked for myself. And thus far, it's been going rather well.|Dijkstra|Yeah… Except you used to do that in the name of some ideal. And now?|Tak... Tylko kiedyś robiłeś to wszystko w imię jakiejś idei. A teraz?|Tak... Z tym, że ty robiłeś to w imię jakiejś idei. A teraz?|Tak... Tylko że kiedyś robiłeś to w imię jakiejś idei. A teraz?
Philippa Eilhart|Really?|Philippa Eilhart|||What do you want?|Czego chcesz?|Czego chcesz?|Czego chcesz?
Geralt|Fisstech? They've got the best powder in the city right here.|Novigrad Nobleman 02|Hello again.|Geralt|Just wanna play.|Mam ochotę tylko na grę.|Chcę tylko zagrać.|Chcę tylko zagrać.
Verden Peasant 03|Swish, swash, witchman buccaneer!|Verden Peasant 01|The Black'uns didn't help, Bloody Baron didn't help. But you - you helped.|Verden Peasant 03|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Wiesz, wiedźminie, źle o tobie gadają. Ale ja nie zapomnę, co dla nas zrobiłeś!|Wiesz co, czarodzieju? Ludzie mogą mówić, co chcą. Ja? Nigdy nie zapomnę, co dla nas zrobiłeś!|Wiesz co, wiedźminie, ludzie mogą mówić, co chcą. Ja? Nigdy nie zapomnę, co dla nas zrobiłeś!
Novigrad Peasant 03|Tis a miracle you came back at all.|Novigrad Poor Man 01|Goddamn pirates.|Novigrad Poor Man 01|Not all of us did.|Nie wszyscy.|Nie wszyscy wróciliśmy.|Nie wszyscy z nas to zrobili.
Temerian Woman 02|Is that how we're gonna live now?|Temerian Woman 03|It's rainin', it's pourin', emp'ror Emhyr's snorin', he bumped his head when he went to bed and wet himself come mornin'.|Verden Boy 01|Must be. Tavern'll be first to go, just you wait. Then they'll ban hooch-makin' altogether. And then they'll start floggin' us about the fields, rain or shine!|Musi być. Wpierw karczmę zamkną, obaczysz, i bimbru pędzić zabronią. A potem batem na pola zaganiać będą, skwar czy słota!|Musi tak być. Karczma pójdzie pierwsza, poczekajcie. Potem zakazają produkcji alkoholu. A potem zaczną nas ganiać po polach, czy pada deszcz, czy świeci słońce!|Musi być. Karczma będzie pierwsza, która pójdzie, poczekaj tylko. Potem zakażą produkcji bimbru. A potem zaczną nas chłostać po polach, deszcz czy słońce!
Novigrad Girl 31|I'm not afraid.|Novigrad Girl 31|I'm gonna be a mutant when I grow up, too!|Novigrad Girl 32|Run!|Uciekajcie!|Uciekaj!|Uciekaj!
Novigrad Prostitute 02|Hard times we live in, so I wondered if I could, well, have a go for half price?|Novigrad Citizen Man 01|But you're a regular, so you can choose which half.|Novigrad Prostitute 02|For half price I'll undress half way.|Za pół ceny to ja się mogę rozebrać do połowy.|Dla ceny pół ceny rozbiorę się do połowy.|Za połowę ceny rozbiorę się do połowy.
Geralt|You never gave me piggyback rides at Kaer Morhen, remember? Vesemir was the only one willing.|Cirilla|Had to wait till now to remind me? You've put on some weight since Kaer Morhen.|Geralt|Ugh!|Uhh!|Eh!|Ugh!
Novigrad Girl 11|Help!|Novigrad Girl 03|My auntie says I talk too much.|Novigrad Girl 11|Oh!|O!|Och!|Och!
Geralt|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Baron|Will you at least tell me how Anna wound up in that blasted bog?|Baron|Sorry, but - your life story? Just not interested. This isn't a social call. I'm here on business.|Wybacz, ale nie interesuje mnie historia twojego życia. Jestem tu w konkretnej sprawie, zapomniałeś?|Przepraszam, ale twoja historia życia? Nie jestem zainteresowany. To nie jest telefon towarzyski. Jestem tu w interesach.|Przykro mi, ale - twoja historia życia? Po prostu nie jestem zainteresowany. To nie jest rozmowa towarzyska. Jestem tu w interesach.
Geralt|Silence, wanderer.|Lady Bran|You? Yet another an Craite lackey?|Lady Bran|I can vouch for Cerys. She's telling the truth.|Ja mogę poświadczyć słowa Cerys.|Mogę zaświadczyć za Cerys. Ona mówi prawdę.|Mogę zaświadczyć o Cerys. Ona mówi prawdę.
Karl Varese|Just a few.|Dijkstra|I'm a witcher.|Geralt|First ever barney with my prick hangin' out. Harrr!|Z gołą dupą jeszcze się nie biłem.|To był pierwszy raz, kiedy miałem bójkę z moim... hmm... wystającym członkiem. Haaa!|Pierwszy raz z Barneyem, z moim fiutem na wierzchu. Harrr!
Verden Old Woman 02|Yeah?|Verden Old Woman 02|Why you pushin'?|Verden Old Woman 02|Who will protect us poor from the cutthroats? Who, I ask?|Kto nas, biednych ludzi, przed tymi zbirami obroni? No kto?|Kto nas biednych ochroni przed bandytami? Kto, pytam?|Kto nas biednych obroni przed rekinami? Kto, pytam?
Skellige Woman 05|Excuse me… Can we ask you…|Geralt|We're looking for a young woman. Ashen hair, green eyes. Seen her?|Geralt|You can.|Możecie.|Możecie.|Możesz.
Skellige Fisherman 05|You believe that? Cursed trees and flyin' phantoms?|Skellige Fisherman 05|Ahoy?|Skellige Fisherman 05|You takin' the piss?|Żarty sobie stroisz?|Czy ty się ze mnie nabijasz?|Czy ty się zesrasz?
Geralt|And we're not like to ever stop.|Skellige Woman 01|Oh aye. Gotten captained a longship, near three dozen men aboard. Raided half a dozen Nilfgaardian villages, filled his hull with captives…|Skellige Woman 01|Your husbands died glorious deaths.|Wasi mężowie zapewne okryli się chwałą.|Wasze mężowie zginęli śmierciami godnymi pieśni.|Twoi mężowie zginęli chwalebną śmiercią.
Hattori|Could I… choose something from your collection?|Geralt|I dunno. Criminal underworld - not really sure I wanna meddle with them.|Geralt|Forget this rubbish! I shall forge you a sword fit for killing gods.|Zapomnij o tych śmieciach! Wykuję ci miecz, którym będziesz mógł zabijać bogów.|Zapomnij o tym śmieciu! Wykuję dla ciebie miecz godny zabijania bogów.|Zapomnij o tym śmieciu! Wykuję dla ciebie miecz godny zabijania bogów.
Troll_2|Sorry say.|Troll_2|Pll… please…|Troll_2|Troll awfulthick hide. Your awfuldull metalstick.|Ja mam grubaskóra. Ty masz tępy miecz.|Troll ma okropnie grube futro. Twoja okropnie nudna metalowa laska.|Troll straszliwie gruby kryje się. Twój straszliwie nudny metalowy patyk.
Nilfgaardian Soldier 02|||||There, in the water! Shoot!|Tam, w wodzie! Strzelać!|Tam, w wodzie! Strzelaj!|Tam, w wodzie! Strzelaj!
Geralt|||Tell me, how do you do it? Sit around playing flute, painting rutting unicorns in gorgeous landscapes, building ornately sculpted towers…|Geralt|Charming world you Aen Elle have got. Could easily fall in love with the place.|Uroczy ten wasz świat. Można się zakochać.|Uroczy świat, który stworzyliście, Aen Elle. Łatwo byłoby zakochać się w tym miejscu.|Uroczy świat masz, Aen Elle. Łatwo zakochać się w tym miejscu.
Geralt|There aren't many of us, but I'd trust any of you with my life. Work together, and we'll defeat the Hunt.|Geralt|Get everybody together. Time to talk.|Geralt|When they attack, Yen'll dome the fortress with a magic shield. Hunt'll be forced to land outside the walls.|Na początek Yen otoczy twierdzę magiczną kopułą. Będą musieli wylądować na zewnątrz.|Gdy zaatakują, Yen osłoni fortecę magiczną tarczą. Hunta zmusi to do lądowania poza murami.|Gdy zaatakują, Yen osłoni fortecę magiczną tarczą. Hunt będzie musiał lądować poza murami.
Geralt|And just who the hell're you?|Skellige Berserker 05|What, our business rubbin' some Novigrad pricks the wrong way? Ploughin' guilds!|Skellige Berserker 05|A friend of a friend. I'm looking for Karadin, thought maybe we could make some sort of deal.|Znajomy jednej twojej znajomej. Szukam Taulera i myślę, że możemy się jakoś dogadać.|Przyjaciel przyjaciela. Szukam Karadina, myślałem, że może moglibyśmy zawrzeć jakiś układ.|Znajomy znajomego. Szukam Karadina, pomyślałem może da się zrobić jakiś interes.
Skellige Boatbuilder 02|Send 'im to the tavern. Have him bring us some beer.|Skellige Boatbuilder 03|Heard Nilfgaardians were bitin' yesterday 'stead o' the fish.|Skellige Fisherman 01|I know his kind. He'll drink it down along the way, then claim he spilled it…|Jak go znam, to albo wszystko po drodze rozleje, albo sam wypije...|Wiem, jaki on jest. Wypije je po drodze, a potem powie, że wylał...|Znam ten typ. Wypije to po drodze, a potem powie, że rozlał…
Geralt|Kind of pass confirms you ain't no mage. Can't enter or leave Novigrad without it.|Eternal Fire Guard 01|You'll scurry no further, then. Next!|Eternal Fire Guard 01|Sorry. Don't have a pass.|Nie mam takiego glejtu.|Przepraszam. Nie mam paszportu.|Przepraszam. Nie mam paszportu.
Geralt|Thank Yennefer. It was her idea, her plan.|Geralt|"Do you jest? They asked Radovid to ""intervene."" Just after he'd appointed them."|Margarita Laux Antille|No reaction from the Council, the Conclave?|A Rada i Kapituła nie zareagowały?|Nie ma reakcji ze strony Rady, Konklawe?|Brak reakcji ze strony Rady, konklawe?
