en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
Greetings, stranger. Salt air gives a man a powerful thirst, don't it?|Witaj, nieznajomy. Od słonego powietrza chce się pić, co?|"Witaj, nieznajomy. Morskie powietrze daje człowiekowi potężne pragnienie, prawda?

To tłumaczenie oddaje oryginalny sens i brzmienie zdania w języku angielskim. Zwróć uwagę, że ""stranger"" zostało przetłumaczone jako ""nieznajomy"", co jest dosłownym tłumaczeniem tego słowa. W kontekście dialogu między dwoma osobami, które się nie znają, to tłumaczenie wydaje się najbardziej odpowiednie."|Witaj, nieznajomy. Morskie powietrze sprawia, że człowiek bardzo chce się napić, prawda?|Witaj, nieznajomy. Morskie powietrze daje człowiekowi potężne pragnienie, prawda?|Witaj nieznajomy. Słone powietrze sprawia, że mężczyzna odczuwa silne pragnienie, prawda?
Same scales as on the altar.|Takie same łuski jak na ołtarzu.|"Tłumaczenie tego zdania na język polski brzmi: ""Te same wagi co na ołtarzu.""

To wyrażenie może być używane w kontekście, gdy chcemy podkreślić, że coś jest równie ważne lub istotne jak to, co znajduje się na ołtarzu, czyli w miejscu szczególnie świętym i symbolicznym w kościołach chrześcijańskich. Może też odnosić się do czegoś, co ma taką samą precyzję lub dokładność jak instrumenty używane do ważenia ofiar składanych na ołtarzu."|Te same wagi co na ołtarzu.|Te same wagi co na ołtarzu.|Takie same wagi jak na ołtarzu.
So did everyone in that room who's not completely deaf.|Podobnie jak trzydzieści innych osób, które stało najbliżej.|Tak zrobiła każda osoba w tym pokoju, która nie jest całkowicie głucha.|Tak samo zrobiła każda osoba w tym pokoju, która nie jest całkowicie głucha.|Każda osoba w tym pokoju, która nie jest całkowicie głucha, tak zrobiła.|Tak samo każdy w tym pokoju, kto nie jest całkowicie głuchy.
Donar was a babe in swaddling clothes when this buckler landed here.|Kiedy ten puklerz tu osiadł, Donar był malcem w pieluchach.|"Tłumaczenie na polski:

""Donar był niemowlęciem w powijakach, kiedy ten puklerz tu trafił.""

To zdanie jest tłumaczeniem dosłownym i zachowuje sens oryginalnego tekstu angielskiego. Warto zauważyć, że ""powijaki"" to tradycyjne określenie ubranka dla niemowląt, które było popularne w dawnych czasach."|Donar był niemowlęciem w powijakach, kiedy ta tarcza tu wylądowała.|Donar był niemowlęciem w powijakach, kiedy ten puklerz tu trafił.|Donar był niemowlęciem w powijakach, gdy ta tarcza tu wylądowała.
That's just it - your 'please' is never a request, only ever a command. But let's move on.|Nie, właśnie chodzi o to, że ty nigdy o nic nie prosisz. Ale mniejsza z tym.|"Oto tłumaczenie na język polski:

""Właśnie o to chodzi - twoje 'proszę' nigdy nie jest prośbą, zawsze tylko rozkazem. Ale przejdźmy dalej.""

To zdanie wyraża frustrację lub irytację wobec kogoś, kto używa słowa ""proszę"" jako sposobu wydawania poleceń lub rozkazów, zamiast rzeczywistej prośby. Osoba mówiąca sugeruje, że takie użycie słowa ""proszę"" jest manipulacyjne i nieuczciwe. Jednocześnie wyraża gotowość do kontynuowania rozmowy lub tematu, mimo tej obserwacji."|Właśnie o to chodzi - twoje proszę nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej.|Właśnie o to chodzi - twoje proszę nigdy nie jest prośbą, zawsze tylko rozkazem. Ale przejdźmy dalej.|"Właśnie tak jest - twoje ""proszę"" nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej."
Well? What is it?|No? O co chodzi?|"Dobrze? Co to jest?

To tłumaczenie dosłowne, ale w kontekście pytania ""Well? What is it?"" można je interpretować jako zachętę do wyjaśnienia lub przedstawienia czegoś. W języku polskim podobne użycie mogłoby brzmieć:

""No więc? Co to takiego?""

lub

""Więc co to za rzecz/sprawa?""

Obie te formy oddają sens oryginalnego pytania, sugerując oczekiwanie na dalsze informacje lub wyjaśnienie."|No cóż? Co to jest?|"No więc? Co to takiego?

lub

Więc co to za rzecz/sprawa?"|No więc? Co się dzieje?
Grrr!|Grrr!!!|"""Grrr!"" to onomatopeja, która zazwyczaj oznacza dźwięk wydawany przez zwierzęta drapieżne, takie jak lwy czy tygrysy. W języku polskim może być przetłumaczone jako ""warknięcie"" lub ""pomruk"".

W kontekście użycia w zdaniu, mogłoby to brzmieć:

""Lew wydał głośne warknięcie.""
lub
""Tygrys wydał głęboki pomruk.""

Jednakże, jeśli chodzi o samo słowo ""Grrr!"" bez dodatkowego kontekstu, nie ma ono bezpośredniego tłumaczenia na polski. Jest to po prostu dźwięk, który oddaje charakterystyczny odgłos wydawany przez te zwierzęta."|Grrr!|Grrr! to onomatopeja, która w języku polskim może być przetłumaczona jako warknięcie lub pomruk.|Warknięcie lub dźwięk niezadowolenia.
Need you to craft something for me.|Chciałbym, żebyś coś dla mnie wykonał.|"Tłumaczenie na polski:

""Potrzebuję, żebyś coś dla mnie napisał/napisała.""

To zdanie jest poprawnym tłumaczeniem oryginalnego tekstu angielskiego na język polski. Zawiera ono prośbę o wykonanie jakiegoś zadania pisemnego przez osobę, do której jest skierowane."|Potrzebuję, żebyś coś dla mnie stworzył.|Potrzebuję, żebyś coś dla mnie napisał/napisała.|Czy mógłbyś coś dla mnie stworzyć?
No. I'm almost ready.|Nie, nie trzeba. Zaraz wychodzę.|"Numer tłumaczenia:

1. ""No. I'm almost ready.""
   - Tłumaczenie na język polski:
     ""Nie. Jestem prawie gotowy.""

Wyjaśnienie krok po kroku:

1. Analiza zdania w języku angielskim:
   - ""No"" to przeczenie, które odpowiada polskiemu ""nie"".
   - ""I'm"" to skrócona forma czasownika ""I am"", co oznacza ""jestem"".
   - ""almost"" to przysłówek oznaczający ""prawie"".
   - ""ready"" to przymiotnik oznaczający ""gotowy"".

2. Tłumaczenie poszczególnych elementów:
   - ""No"" = ""Nie""
   - ""I'm"" = ""Jestem""
   - ""almost"" = ""prawie""
   - ""ready"" = ""gotowy""

3. Połączenie elementów w poprawną strukturę zdania w języku polskim:
   - ""Nie. Jestem prawie gotowy.""

4. Sprawdzenie gramatyki i sensu zdania:
   - Zdanie jest poprawne gramatycznie i logicznie.

5. Ostateczny wynik:
   - ""Nie. Jestem prawie gotowy."""|Nie. Jestem prawie gotowy.|Nie. Jestem prawie gotowy.|Nie. Jestem prawie gotowy.
All right. She was here a few hours. Went to find me man, Eiric. Needed to talk, she said. They should be on the beach t'other side of the isle.|Dobrze już, dobrze. Była tutaj, parę godzin temu. Poszła porozmawiać z Eirikiem, moim mężem. Powinni być na plaży po drugiej stronie wyspy.|"Dobrze. Była tu przez kilka godzin. Poszła mnie szukać, Erica. Chciała porozmawiać, powiedziała. Powinni być na plaży po drugiej stronie wyspy.

Tłumaczenie:
""Wszystko w porządku. Przebywała tutaj przez kilka godzin. Poszła cię szukać, Erica. Potrzebowała porozmawiać, tak powiedziała. Powinni być na plaży po drugiej stronie wyspy."""|W porządku. Była tu kilka godzin. Poszła mnie szukać, Erica. Chciała porozmawiać, powiedziała. Powinni być na plaży po drugiej stronie wyspy.|Wszystko w porządku. Przebywała tutaj przez kilka godzin. Poszła cię szukać, Erica. Potrzebowała porozmawiać, tak powiedziała. Powinni być na plaży po drugiej stronie wyspy.|W porządku. Była tu przez kilka godzin. Poszła znaleźć mojego mężczyznę, Erica. Musiała porozmawiać, powiedziała. Powinni być na plaży po drugiej stronie wyspy.
Hoping for pirate treasure?|A co, masz nadzieję na skarb piratów?|"Tłumaczenie na polski:

""Mając nadzieję na skarb piratów?""

To zdanie można interpretować jako pytanie lub stwierdzenie. Jeśli jest to pytanie, sugeruje ono, że ktoś poszukuje skarbu piratów i ma nadzieję go znaleźć. Jeśli jest to stwierdzenie, oznacza to, że ktoś wyraża swoją nadzieję na odnalezienie takiego skarbu.

Warto zauważyć, że w języku angielskim ""hoping"" często używane jest w kontekście nadziei lub pragnienia czegoś, co niekoniecznie musi być realistyczne lub możliwe do osiągnięcia. W tym przypadku, poszukiwanie skarbu piratów może być postrzegane jako romantyczne marzenie lub przygoda, a nie jako rzeczywiste działanie mające szansę powodzenia."|Mając nadzieję na skarb piratów?|Mając nadzieję na skarb piratów?|Masz nadzieję na skarb piratów?
Blackberries - wanted to pick some.|Chciał nazbierać jeżyn.|"Tłumaczenie na język polski:

""Jeżyny - chciałem trochę zebrać.""

To tłumaczenie odnosi się do zdania ""Blackberries - wanted to pick some"", gdzie ""blackberries"" oznacza jeżyny, a ""wanted to pick some"" wyraża chęć zebrania pewnej ilości tych owoców."|Jeżyny - chciałem trochę zebrać.|Chciałem trochę zebrać jeżyn.|Chciałem zebrać trochę jeżyn.
Where's the rest of your crew?|Gdzie reszta twojej drużyny?|"Tłumaczenie tego zdania na język polski brzmi:

""Gdzie reszta twojej załogi?""

To pytanie może być używane w różnych kontekstach, na przykład gdy ktoś pyta o pozostałych członków grupy lub ekipy, którą widzi tylko częściowo. Może to dotyczyć zarówno zespołu sportowego, jak i grupy pracowników czy pasażerów statku lub samolotu. Pytanie to wyraża ciekawość lub troskę o obecność innych osób w danej sytuacji."|Gdzie reszta twojej załogi?|Gdzie reszta twojej załogi?|Gdzie reszta twojej załogi?
That's the way to win respect in Skellige…|Tak się zdobywa uznanie na Skellige....|Tak się zdobywa szacunek w Skelligach...|Tak zdobywa się szacunek w Skellige...|Tak się zdobywa szacunek w Skelligach...|To jest sposób, aby zdobyć szacunek w Skellige…
Ah, Yorg, you're useless…|A idź, Yorgu, żadnego z ciebie pożytku...|"Ach, Jorgu, jesteś bezużyteczny...

To tłumaczenie odzwierciedla dosłowne znaczenie oryginalnego zdania w języku angielskim. Warto zauważyć, że w języku polskim często używamy bardziej opisowych lub emocjonalnych wyrażeń w podobnych sytuacjach, takich jak ""Jesteś kompletnie nieprzydatny"" czy ""Nie mogę na tobie polegać""."|Ach, Jorg, jesteś bezużyteczny...|Ach, Jorgu, jesteś bezużyteczny...|Ach, Jurek, jesteś bezużyteczny...
Told you - only men live in Fornhala.|Mówiłem ci, w Fornhali żyją tylko mężczyźni.|"Tłumaczenie tego zdania na język polski brzmi:

""Mówiłem ci - tylko mężczyźni mieszkają w Fornhali.""

To zdanie jest prawdopodobnie częścią dialogu lub narracji, gdzie jedna osoba informuje drugą o czymś, co już wcześniej wspominała. ""Fornhala"" to nazwa miejsca, które może być fikcyjne lub odnosić się do rzeczywistej lokalizacji. Warto zauważyć, że w języku polskim nie ma bezpośredniego odpowiednika dla słowa ""told you"", ale jego znaczenie jest oddane przez zwrot ""mówiłem ci""."|Mówiłem ci - tylko mężczyźni mieszkają w Fornhali.|Mówiłem ci - tylko mężczyźni mieszkają w Fornhali.|Mówiłem ci - tylko mężczyźni mieszkają w Fornhala.
You can come back anytime, challenge 'im again. Them's the rules.|Możesz tu wrócić i rzucić mu wyzwanie jeszcze raz. Takie są zasady.|"Tłumaczenie na polski:

Możesz wrócić w każdej chwili i znów go wyzwać. Takie są zasady.

To tłumaczenie oddaje sens oryginalnego zdania, używając bardziej formalnego języka niż w oryginale. Warto zauważyć, że w języku polskim często używa się formy ""go"" zamiast bezpośredniego imienia osoby, co jest odpowiednikiem angielskiego ""him""."|Możesz wrócić w dowolnym momencie i znów ich wyzwać. Takie są zasady.|Możesz wrócić w każdej chwili i znów go wyzwać. Takie są zasady.|Możesz wrócić w każdej chwili i znów go wyzwać. Takie są zasady.
Rust-eaten, all of it…|Wszystko przeżarte rdzą...|"Tłumaczenie na język polski:

""Rdzewiejący od środka, cały...""

To tłumaczenie może być nieco niedokładne, ponieważ oryginalny tekst ""Rust-eaten, all of it..."" jest dość enigmatyczny i może mieć kilka interpretacji. Możliwe znaczenia mogłyby obejmować coś, co jest doszczętnie zniszczone przez rdzę lub coś, co jest w pełni przeżarte rdzą. W kontekście technicznym, mógłby to być opis silnika lub innego mechanizmu, który jest tak skorodowany, że już nie nadaje się do użytku. W szerszym kontekście, mogłoby to oznaczać coś, co jest kompletnie zepsute lub zdewastowane."|Zżarty przez rdzę, cały...|Rdzewiejący od środka, cały...|Zżarty rdzą, całe to żelastwo...
He's dead. And I wager it was you who silenced him.|Nie żyje. I założę się, że to ty go uciszyłaś.|"Tłumaczenie tego zdania na język polski brzmi:

""On nie żyje. I założę się, że to ty go uciszyłeś.""

To zdanie zawiera kilka elementów charakterystycznych dla języka angielskiego i jego stylu:

1. Użycie czasownika ""wager"" (zakładać się) jest typowe dla bardziej potocznego lub dramatycznego stylu mówienia. W języku polskim można by użyć słowa ""założyć"", ale często używa się też bardziej bezpośrednich form jak ""myślę"" czy ""podejrzewam"".

2. Konstrukcja ""And I wager it was you who silenced him"" jest dość skomplikowana gramatycznie i emocjonalnie. W języku polskim można by to wyrazić prościej jako ""I myślę, że to ty go uciszyłeś"".

3. Zdanie to ma charakter oskarżenia lub podejrzenia, co jest typowe dla dialogów w literaturze kryminalnej czy thrillerach.

4. Użycie czasu przeszłego (""was"") wskazuje na to, że akcja miała miejsce w przeszłości, co jest logiczne w kontekście śmierci osoby.

5. Słowo ""silenced"" (uciszył) sugeruje, że ofiara została pozbawiona głosu lub uniemożliwiono jej komunikację, co może mieć różne implikacje - od fizycznego usunięcia po psychologiczne zastraszenie.

6. Całe zdanie ma charakter bezpośredni i stanowczy, co pasuje do sytuacji, w której jedna osoba oskarża drugą o poważny czyn."|On nie żyje. I założę się, że to ty go uciszyłeś.|On nie żyje. I założę się, że to ty go uciszyłeś.|On nie żyje. I stawiam na to, że to ty go uciszyłeś/uciszyłaś.
I'm not here to work.|Jestem tu prywatnie.|"Tłumaczenie tego zdania na język polski brzmi:

""Nie jestem tu po to, żeby pracować.""

To zdanie wyraża podobne znaczenie jak oryginalne angielskie ""I'm not here to work"". Oznacza ono, że osoba mówiąca nie przybyła w danym miejscu lub sytuacji z zamiarem wykonywania pracy czy obowiązków zawodowych. Może to być odpowiedź na pytanie o cel wizyty lub sugestia, że dana osoba nie zamierza angażować się w działania związane z pracą w danym kontekście."|Nie jestem tu po to, aby pracować.|Nie jestem tu po to, żeby pracować.|Nie jestem tu po to, żeby pracować.
Why didn't you go with Hjalmar?|Dlaczego nie popłynęliście z Hjalmarem?|"Dlaczego nie poszłaś z Hjalmarem?

To tłumaczenie jest dosłowne i odzwierciedla oryginalną treść pytania. Jeśli potrzebujesz dodatkowych informacji lub kontekstu, chętnie pomogę!"|Dlaczego nie poszłaś z Hjalmarem?|Dlaczego nie poszłaś z Hjalmarem?|Jestem bardzo dobrym kucharzem.
Owes me a favor, one of the guards. I can get 'im to take you to Lugos… Then you can owe me a favor. Whaddaya say?|Jeden ze strażników jest mi winny przysługę. Sprawię, że zaprowadzi cię do Lugosa... A wtedy to ty będziesz mi winny przysługę. Co ty na to?|"Tłumaczenie na polski:

""Jeden ze strażników jest mi winien przysługę. Mogę go poprosić, żeby zabrał cię do Lugos... Wtedy będziesz mi coś winien. Co ty na to?""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, uwzględniając kontekst i intencję mówiącego."|Jeden ze strażników jest mi winien przysługę. Mogę go poprosić, żeby zabrał cię do Lugos... Wtedy będziesz mi winien przysługę. Co ty na to?|Jeden ze strażników jest mi winien przysługę. Mogę go poprosić, żeby zabrał cię do Lugos... Wtedy będziesz mi coś winien. Co ty na to?|Dłużny mi jest przysługę jeden ze strażników. Mogę go poprosić, żeby cię zawiózł do Lugos… Wtedy ty będziesz mi winien przysługę. Co powiesz?
Thanks, witcher. A thousand times over. Me son's dearest of all to me. I couldn't abide it if he'd died.|Dziękuję, stokroć dziękuję! Syn jest najdroższym co mam – nie zniósłbym jego śmierci.|Dzięki, wiedźminie. Tysiąckroć dzięki. Mój syn jest dla mnie najdroższy ze wszystkiego. Nie zniosłabym, gdyby umarł.|Dzięki, wiedźminie. Tysiąckroć. Mój syn jest mi najdroższy ze wszystkiego. Nie zniosłabym, gdyby umarł.|Dzięki, wiedźminie. Tysiąckroć dzięki. Mój syn jest dla mnie najdroższy ze wszystkiego. Nie zniosłabym, gdyby umarł.|Jestem bardzo dobrym kucharzem.
